\$1N14254\  \R405\-\1\ \IC33\-\AP5\ 
\$1N14549\  \R166\-\2\ \R167\-\1\ \IC33\-\R7\ 
\$1N14818\  \IC33\-\W12\ \$1I18760\-\1\ 
\$1N17655\  \IC33\-\L14\ \C177\-\1\ 
\$1N17682\  \IC33\-\J21\ \C178\-\1\ 
\$1N17709\  \IC33\-\AD13\ \C179\-\1\ 
\$1N17815\  \SW1\-\8\ \R178\-\2\ 
\$1N17816\  \SW1\-\6\ \R175\-\2\ 
\$1N17817\  \SW1\-\7\ \R177\-\2\ 
\$1N17829\  \SW1\-\5\ \R185\-\2\ 
\$1N18653\  \$1I18656\-\2\ \$1I18655\-\1\ 
\$2N13780\  \J16\-\1\ \C181\-\2\ 
\$2N13804\  \J17\-\1\ \C182\-\2\ 
\$3N11406\  \IC33\-\B14\ \R241\-\2\ \C223\-\1\ 
\$3N11407\  \IC33\-\A14\ \R244\-\2\ \C224\-\1\ 
\$4N12198\  \IC33\-\P20\ \$4I15337\-\1\ 
\$4N12199\  \IC33\-\P21\ \$4I15360\-\1\ 
\$4N12200\  \IC33\-\N22\ \$4I15383\-\1\ 
\$4N12201\  \IC33\-\M22\ \$4I15406\-\1\ 
\$4N12202\  \IC33\-\R23\ \$4I15429\-\1\ 
\$4N12203\  \IC33\-\P25\ \$4I15452\-\1\ 
\$4N7155\  \R232\-\2\ \OSC1\-\3\ 
\$7N10072\  \IC33\-\AE3\ \C246\-\1\ 
\$7N10074\  \IC33\-\AE4\ \C245\-\1\ 
\$7N10086\  \IC33\-\AH5\ \C260\-\1\ 
\$7N10099\  \IC33\-\AH6\ \C261\-\1\ 
\$7N10112\  \IC33\-\AK6\ \C243\-\1\ 
\$7N10114\  \IC33\-\AK5\ \C244\-\1\ 
\$7N7243\  \C234\-\1\ \IC33\-\P6\ 
\$7N7245\  \C233\-\1\ \IC33\-\P5\ 
\$7N8049\  \IC33\-\AN3\ \C250\-\1\ 
\$7N8051\  \IC33\-\AN4\ \C249\-\1\ 
\$7N8069\  \IC33\-\AG3\ \C242\-\1\ 
\$7N8071\  \IC33\-\AG4\ \C241\-\1\ 
\$7N8077\  \IC33\-\AC3\ \C238\-\1\ 
\$7N8079\  \IC33\-\AC4\ \C237\-\1\ 
\$7N8388\  \IC33\-\AD6\ \C235\-\1\ 
\$7N8389\  \C236\-\1\ \IC33\-\AD5\ 
\$7N9238\  \IC33\-\AA4\ \C251\-\2\ 
\$7N9239\  \IC33\-\AA3\ \C252\-\2\ 
\$7N9286\  \IC33\-\W4\ \C253\-\2\ 
\$7N9287\  \IC33\-\W3\ \C254\-\2\ 
\$7N9334\  \IC33\-\U4\ \C255\-\2\ 
\$7N9335\  \IC33\-\U3\ \C256\-\2\ 
\$7N9382\  \IC33\-\R4\ \C257\-\2\ 
\$7N9383\  \IC33\-\R3\ \C258\-\2\ 
\$7N9514\  \OSC2\-\4\ \R256\-\2\ \$7I10328\-\1\ 
\$7N9515\  \OSC2\-\5\ \R257\-\2\ \$7I10329\-\1\ 
\$7N9820\  \IC33\-\AM5\ \C240\-\1\ 
\$7N9822\  \C239\-\1\ \IC33\-\AM6\ 
\$7N9845\  \IC33\-\AL3\ \C248\-\1\ 
\$7N9847\  \IC33\-\AL4\ \C247\-\1\ 
\ADC_VCC\  \IC33\-\U12\ \L20\-\1\ \C262\-\2\ 
\ALT_PORT0\  \$7I10465\-\2\ 
\ARX0_N_25\  \$7I10464\-\2\ 
\ATX0_N_25\  \$7I10462\-\2\ 
\ATX0_P_25\  \$7I10463\-\2\ 
\AUX_UART_RxD\  \IC33\-\AF13\ 
\AUX_UART_TxD\  \IC33\-\AE13\ 
\BOOT_MODE0\  \R183\-\2\ 
\BOOT_MODE1\  \R182\-\2\ 
\BOOT_MODE2\  \R181\-\2\ 
\BOOT_MODE3\  \R186\-\2\ 
\CDR_CLK_CLEAN1_N\  \R255\-\2\ \IC33\-\G16\ 
\CDR_CLK_CLEAN1_P\  \IC33\-\G17\ \R254\-\2\ 
\CDR_CLK_CLEAN2_N\  \IC33\-\K5\ 
\CDR_CLK_CLEAN2_P\  \IC33\-\K6\ 
\CLK_200MHz_N\  \IC33\-\Y5\ \$7I10329\-\2\ 
\CLK_200MHz_P\  \IC33\-\Y6\ \$7I10328\-\2\ 
\CLK_50M\  \R232\-\1\ \IC33\-\N24\ 
\CLK_MUX_SEL\  \IC33\-\AK11\ 
\CLK_SEL_25\  \IC33\-\AN12\ 
\DDR32_VREF\  \IC33\-\L10\ \IC33\-\J20\ 
\DDR3_64_A0\  \IC33\-\AE17\ 
\DDR3_64_A1\  \IC33\-\AL17\ 
\DDR3_64_A10\  \IC33\-\AL18\ 
\DDR3_64_A11\  \IC33\-\AL15\ 
\DDR3_64_A12\  \IC33\-\AE18\ 
\DDR3_64_A13\  \IC33\-\AJ15\ 
\DDR3_64_A14\  \IC33\-\AG14\ 
\DDR3_64_A2\  \IC33\-\AG16\ 
\DDR3_64_A3\  \IC33\-\AG17\ 
\DDR3_64_A4\  \IC33\-\AD16\ 
\DDR3_64_A5\  \IC33\-\AH14\ 
\DDR3_64_A6\  \IC33\-\AD15\ 
\DDR3_64_A7\  \IC33\-\AK15\ 
\DDR3_64_A8\  \IC33\-\AF14\ 
\DDR3_64_A9\  \IC33\-\AF15\ 
\DDR3_64_BA0\  \IC33\-\AF17\ 
\DDR3_64_BA1\  \IC33\-\AD19\ 
\DDR3_64_BA2\  \IC33\-\AD18\ 
\DDR3_64_CAS_N\  \IC33\-\AK18\ 
\DDR3_64_CKE\  \IC33\-\AL19\ 
\DDR3_64_CK_N\  \IC33\-\AE15\ 
\DDR3_64_CK_P\  \IC33\-\AE16\ 
\DDR3_64_CS_N\  \IC33\-\AF18\ 
\DDR3_64_DM0\  \IC33\-\AD21\ 
\DDR3_64_DM1\  \IC33\-\AE25\ 
\DDR3_64_DM2\  \IC33\-\AJ21\ 
\DDR3_64_DM3\  \IC33\-\AM21\ 
\DDR3_64_DM4\  \IC33\-\AH26\ 
\DDR3_64_DM5\  \IC33\-\AN26\ 
\DDR3_64_DM6\  \IC33\-\AJ29\ 
\DDR3_64_DM7\  \IC33\-\AL32\ 
\DDR3_64_DQ0\  \IC33\-\AE23\ 
\DDR3_64_DQ1\  \IC33\-\AG20\ 
\DDR3_64_DQ10\  \IC33\-\AJ23\ 
\DDR3_64_DQ11\  \IC33\-\AF23\ 
\DDR3_64_DQ12\  \IC33\-\AH23\ 
\DDR3_64_DQ13\  \IC33\-\AF24\ 
\DDR3_64_DQ14\  \IC33\-\AH22\ 
\DDR3_64_DQ15\  \IC33\-\AG25\ 
\DDR3_64_DQ16\  \IC33\-\AL22\ 
\DDR3_64_DQ17\  \IC33\-\AL25\ 
\DDR3_64_DQ18\  \IC33\-\AM20\ 
\DDR3_64_DQ19\  \IC33\-\AK23\ 
\DDR3_64_DQ2\  \IC33\-\AF22\ 
\DDR3_64_DQ20\  \IC33\-\AK22\ 
\DDR3_64_DQ21\  \IC33\-\AL24\ 
\DDR3_64_DQ22\  \IC33\-\AL20\ 
\DDR3_64_DQ23\  \IC33\-\AL23\ 
\DDR3_64_DQ24\  \IC33\-\AM24\ 
\DDR3_64_DQ25\  \IC33\-\AN23\ 
\DDR3_64_DQ26\  \IC33\-\AN24\ 
\DDR3_64_DQ27\  \IC33\-\AP23\ 
\DDR3_64_DQ28\  \IC33\-\AP25\ 
\DDR3_64_DQ29\  \IC33\-\AN22\ 
\DDR3_64_DQ3\  \IC33\-\AF20\ 
\DDR3_64_DQ30\  \IC33\-\AP24\ 
\DDR3_64_DQ31\  \IC33\-\AM22\ 
\DDR3_64_DQ32\  \IC33\-\AH28\ 
\DDR3_64_DQ33\  \IC33\-\AK26\ 
\DDR3_64_DQ34\  \IC33\-\AK28\ 
\DDR3_64_DQ35\  \IC33\-\AM27\ 
\DDR3_64_DQ36\  \IC33\-\AJ28\ 
\DDR3_64_DQ37\  \IC33\-\AH27\ 
\DDR3_64_DQ38\  \IC33\-\AK27\ 
\DDR3_64_DQ39\  \IC33\-\AM26\ 
\DDR3_64_DQ4\  \IC33\-\AE22\ 
\DDR3_64_DQ40\  \IC33\-\AL30\ 
\DDR3_64_DQ41\  \IC33\-\AP29\ 
\DDR3_64_DQ42\  \IC33\-\AM30\ 
\DDR3_64_DQ43\  \IC33\-\AN28\ 
\DDR3_64_DQ44\  \IC33\-\AL29\ 
\DDR3_64_DQ45\  \IC33\-\AP28\ 
\DDR3_64_DQ46\  \IC33\-\AM29\ 
\DDR3_64_DQ47\  \IC33\-\AN27\ 
\DDR3_64_DQ48\  \IC33\-\AH31\ 
\DDR3_64_DQ49\  \IC33\-\AH32\ 
\DDR3_64_DQ5\  \IC33\-\AD20\ 
\DDR3_64_DQ50\  \IC33\-\AJ34\ 
\DDR3_64_DQ51\  \IC33\-\AK31\ 
\DDR3_64_DQ52\  \IC33\-\AJ31\ 
\DDR3_64_DQ53\  \IC33\-\AJ30\ 
\DDR3_64_DQ54\  \IC33\-\AH34\ 
\DDR3_64_DQ55\  \IC33\-\AK32\ 
\DDR3_64_DQ56\  \IC33\-\AN33\ 
\DDR3_64_DQ57\  \IC33\-\AP33\ 
