\$1N2229\  \R35\-\2\ \IC27\-\A6\ 
\$1N2304\  \R36\-\2\ \IC27\-\E12\ 
\$1N2714\  \R37\-\2\ \OSC1\-\3\ 
\$1N3847\  \R38\-\2\ \IC27\-\R12\ 
\$1N4645\  \R39\-\2\ \IC27\-\K16\ 
\$1N4830\  \OSC2\-\6\ \OSC2\-\2\ \C158\-\2\ \L34\-\1\ 
\$1N5874\  \R46\-\2\ \IC27\-\K15\ 
\$1N629_16\  \R34\-\2\ \IC27\-\R11\ \IC27\-\F13\ 
\$1N8317\  \R37\-\1\ \R50\-\2\ \IC27\-\R2\ 
\$1N8454\  \T1\-\3\ \LD1\-\1\ 
\$1N8455\  \LD1\-\2\ \R243\-\1\ 
\$1N9113\  \R52\-\2\ \IC27\-\J18\ 
\ADF_CE\  \IC27\-\D16\ 
\ADF_CLK\  \IC27\-\E16\ 
\ADF_DATA\  \IC27\-\D15\ 
\ADF_LE\  \IC27\-\D14\ 
\ADF_MUXOUT\  \IC28\-\9\ 
\ADF_MUXOUT_2V5\  \IC28\-\3\ \IC27\-\V11\ 
\CDR_CLK_CLEAN1_N\  \IC27\-\B5\ 
\CDR_CLK_CLEAN1_P\  \IC27\-\B6\ 
\CDR_CLK_CLEAN2_N\  \R245\-\2\ \IC27\-\T15\ 
\CDR_CLK_CLEAN2_P\  \R244\-\2\ \IC27\-\T14\ 
\DAC1_IRQn\  \IC27\-\V14\ 
\DAC1_SPI_CSn\  \IC27\-\U14\ 
\DAC1_SPI_SCLK\  \IC27\-\T13\ 
\DAC1_SPI_SDIO\  \IC27\-\V17\ 
\DAC1_SPI_SDO\  \IC27\-\R13\ 
\DAC1_TXEN0\  \IC27\-\V16\ 
\DAC1_TXEN1\  \IC27\-\U16\ 
\DAC2_IRQn\  \IC27\-\K17\ 
\DAC2_RESETn\  \IC27\-\U15\ 
\DAC2_SPI_CSn\  \IC27\-\K18\ 
\DAC2_SPI_SCLK\  \IC27\-\L18\ 
\DAC2_SPI_SDIO\  \IC27\-\J15\ 
\DAC2_SPI_SDO\  \IC27\-\J16\ 
\DAC2_TXEN0\  \IC27\-\J14\ 
\DAC2_TXEN1\  \IC27\-\L14\ 
\DAC_CLK_SRC_SEL\  \IC28\-\8\ 
\DAC_CLK_SRC_SEL_2V5\  \IC28\-\4\ \IC27\-\U10\ 
\DELAY_ENn\  \IC29\-\7\ 
\DELAY_ENn_2V5\  \IC29\-\5\ \IC27\-\V13\ 
\DELAY_SCLK\  \IC29\-\8\ 
\DELAY_SCLK_2V5\  \IC29\-\4\ \IC27\-\T12\ 
\DELAY_SDIN\  \IC29\-\9\ 
\DELAY_SDIN_2V5\  \IC29\-\3\ \IC27\-\U12\ 
\DELAY_SLOAD\  \IC29\-\10\ 
\DELAY_SLOAD_2V5\  \IC29\-\2\ \IC27\-\U11\ 
\DIO0\  \J15\-\1\ \IC27\-\P18\ 
\DIO1\  \J15\-\2\ \IC27\-\N18\ 
\DIO2\  \J15\-\3\ \IC27\-\N17\ 
